37.106.175.224:8080,transparent,Saudi Arabia,2 hours ago,21:39:36.882052,2018-04-19
89.236.17.106:3128,highly-anonymous,Sweden,2 hours ago,21:39:36.882105,2018-04-19
80.211.5.160:8888,transparent,Italy,5 hours ago,21:39:36.882142,2018-04-19
96.252.127.202:3128,transparent,United States of America,5 hours ago,21:39:36.882177,2018-04-19
159.89.196.170:3128,transparent,Singapore,7 hours ago,21:39:36.882213,2018-04-19
37.187.30.16:3128,transparent,France,8 hours ago,21:39:36.882250,2018-04-19
185.219.122.127:8080,transparent,Spain,8 hours ago,21:39:36.882286,2018-04-19
35.196.143.234:8080,highly-anonymous,United States of America,9 hours ago,21:39:36.882322,2018-04-19
92.222.79.39:8181,highly-anonymous,France,12 hours ago,21:39:36.882356,2018-04-19
37.139.11.236:8080,transparent,Netherlands,15 hours ago,21:39:36.882392,2018-04-19
188.165.132.181:3128,transparent,Spain,18 hours ago,21:39:36.882428,2018-04-19
185.22.174.65:10010,transparent,Russian Federation,18 hours ago,21:39:36.882462,2018-04-19
212.237.63.189:8080,transparent,Italy,18 hours ago,21:39:36.882496,2018-04-19
178.32.181.66:3128,transparent,France,18 hours ago,21:39:36.882531,2018-04-19
185.22.174.68:10010,transparent,Russian Federation,18 hours ago,21:39:36.882567,2018-04-19
80.211.228.238:8888,transparent,Italy,18 hours ago,21:39:36.882601,2018-04-19
207.154.250.188:8080,transparent,Germany,18 hours ago,21:39:36.882641,2018-04-19
35.184.78.95:80,highly-anonymous,United States of America,21 hours ago,21:39:36.882711,2018-04-19
194.182.74.163:3128,highly-anonymous,Czech Republic,23 hours ago,21:39:36.882768,2018-04-19
94.177.225.36:8181,highly-anonymous,Germany,23 hours ago,21:39:36.882809,2018-04-19
192.116.142.153:8080,highly-anonymous,Israel,1 day ago,21:39:36.882853,2018-04-19
35.197.32.25:80,highly-anonymous,United States of America,1 day ago,21:39:36.882895,2018-04-19
95.210.251.29:53281,transparent,Italy,1 day ago,21:39:36.882961,2018-04-19
128.199.124.13:8080,transparent,Singapore,1 day ago,21:39:36.883022,2018-04-19
47.206.51.67:8080,highly-anonymous,United States of America,1 day ago,21:39:36.883084,2018-04-19
51.15.65.152:8080,highly-anonymous,France,1 day ago,21:39:36.883145,2018-04-19
35.198.81.49:80,highly-anonymous,United States of America,1 day ago,21:39:36.883207,2018-04-19
213.27.152.15:3128,transparent,Spain,1 day ago,21:39:36.883273,2018-04-19
91.126.207.118:3128,transparent,Spain,1 day ago,21:39:36.883336,2018-04-19
213.153.68.215:8080,highly-anonymous,Germany,1 day ago,21:39:36.883398,2018-04-19
128.199.199.41:3128,highly-anonymous,Singapore,1 day ago,21:39:36.883460,2018-04-19
34.239.167.200:3128,anonymous,United States of America,1 day ago,21:39:36.883521,2018-04-19
93.118.32.219:3333,transparent,France,1 day ago,21:39:36.883581,2018-04-19
165.227.192.42:80,highly-anonymous,United States of America,1 day ago,21:39:36.883642,2018-04-19
209.222.10.221:3128,transparent,United States of America,1 day ago,21:39:36.883703,2018-04-19
35.184.40.31:3128,transparent,United States of America,1 day ago,21:39:36.883763,2018-04-19
81.91.30.155:8080,transparent,Yemen,1 day ago,21:39:36.883823,2018-04-19
81.91.30.70:8080,transparent,Yemen,1 day ago,21:39:36.883881,2018-04-19
109.200.191.34:8080,transparent,Yemen,1 day ago,21:39:36.883940,2018-04-19
61.216.96.43:8081,highly-anonymous,"Taiwan, Province of China",1 day ago,21:39:36.883998,2018-04-19
41.164.168.174:8080,transparent,South Africa,1 day ago,21:39:36.884056,2018-04-19
196.15.206.194:8080,transparent,South Africa,1 day ago,21:39:36.884119,2018-04-19
41.168.3.165:8080,highly-anonymous,South Africa,1 day ago,21:39:36.884178,2018-04-19
104.46.34.250:3128,anonymous,Netherlands,1 day ago,21:39:36.884236,2018-04-19
86.119.40.127:80,highly-anonymous,Switzerland,1 day ago,21:39:36.884294,2018-04-19
186.10.5.139:8080,transparent,Chile,2 days ago,21:39:36.884352,2018-04-19
163.47.36.74:8080,transparent,Bangladesh,2 days ago,21:39:36.884417,2018-04-19
41.160.222.42:8080,transparent,South Africa,2 days ago,21:39:36.884476,2018-04-19
200.27.173.202:8080,transparent,Chile,2 days ago,21:39:36.884533,2018-04-19
186.103.169.163:8080,transparent,Chile,2 days ago,21:39:36.884590,2018-04-19
